item_id,a,b,c,category,subcategory,tags,question,alternatives,correct,source,active,notes
SYN-3PL-001,0.7883,-1.8791,0.459,D1,,,,,,SYN,1,
SYN-3PL-002,1.0748,-0.9841,0.1146,D2,,,,,,SYN,1,
SYN-3PL-003,0.5661,-1.9519,0.2535,D3,,,,,,SYN,1,
SYN-3PL-004,1.52,-0.4317,0.1666,D4,,,,,,SYN,1,
SYN-3PL-005,1.2111,-0.448,0.1628,D1,,,,,,SYN,1,
SYN-3PL-006,0.9161,1.729,0.2158,D2,,,,,,SYN,1,
SYN-3PL-007,0.9107,-0.8093,0.2047,D3,,,,,,SYN,1,
SYN-3PL-008,1.0954,0.1163,0.203,D4,,,,,,SYN,1,
SYN-3PL-009,0.9228,0.3861,0.2577,D1,,,,,,SYN,1,
SYN-3PL-010,0.9345,1.3619,0.2387,D2,,,,,,SYN,1,
SYN-3PL-011,1.2411,0.4216,0.3075,D3,,,,,,SYN,1,
SYN-3PL-012,1.167,0.7098,0.2824,D4,,,,,,SYN,1,
SYN-3PL-013,0.9809,1.7542,0.4124,D1,,,,,,SYN,1,
SYN-3PL-014,0.9747,-1.7055,0.1275,D2,,,,,,SYN,1,
SYN-3PL-015,1.0495,-0.6134,0.1855,D3,,,,,,SYN,1,
SYN-3PL-016,0.8318,-0.4137,0.2028,D4,,,,,,SYN,1,
SYN-3PL-017,0.8859,-0.1043,0.2189,D1,,,,,,SYN,1,
SYN-3PL-018,1.1788,-0.6707,0.1506,D2,,,,,,SYN,1,
SYN-3PL-019,0.9616,1.027,0.2543,D3,,,,,,SYN,1,
SYN-3PL-020,0.6621,-0.6578,0.2666,D4,,,,,,SYN,1,
SYN-3PL-021,0.8666,-0.6905,0.1955,D1,,,,,,SYN,1,
SYN-3PL-022,1.2177,0.4195,0.2218,D2,,,,,,SYN,1,
SYN-3PL-023,0.9327,-0.7804,0.1921,D3,,,,,,SYN,1,
SYN-3PL-024,0.9564,-1.0894,0.1198,D4,,,,,,SYN,1,
SYN-3PL-025,1.2123,-1.3455,0.1631,D1,,,,,,SYN,1,
SYN-3PL-026,1.7287,-0.1795,0.1544,D2,,,,,,SYN,1,
SYN-3PL-027,0.8074,0.9673,0.2909,D3,,,,,,SYN,1,
SYN-3PL-028,1.4985,0.7446,0.2054,D4,,,,,,SYN,1,
SYN-3PL-029,0.6914,0.3984,0.1465,D1,,,,,,SYN,1,
SYN-3PL-030,1.0539,0.067,0.1473,D2,,,,,,SYN,1,
SYN-3PL-031,0.7041,-0.6062,0.1017,D3,,,,,,SYN,1,
SYN-3PL-032,1.5,-0.146,0.3306,D4,,,,,,SYN,1,
SYN-3PL-033,1.2843,-1.2728,0.199,D1,,,,,,SYN,1,
SYN-3PL-034,1.4068,0.1052,0.1876,D2,,,,,,SYN,1,
SYN-3PL-035,0.7667,0.9462,0.2573,D3,,,,,,SYN,1,
SYN-3PL-036,1.228,-1.6714,0.2791,D4,,,,,,SYN,1,
SYN-3PL-037,0.8558,1.2649,0.1658,D1,,,,,,SYN,1,
